rt_id,Judge,tip,Category,Round,Heat,Stn,stanica,Acro 1,Acro 2,Acro 3,Acro 4,Acro 5,Acro 6,bm,turnir,Acro_7,Acro_8,fall
1985,A,A,Rock'n'Roll-Main Class Contact Style,First round,1,283,1,-15,-25,-25,-15,-25,-1,0,164,-1,-1,0
1985,A,A,Rock'n'Roll-Main Class Contact Style,First round,1,494,1,-50,-15,-25,-15,-25,-1,0,164,-1,-1,0
1985,A,A,Rock'n'Roll-Main Class Contact Style,First round,2,160,1,-15,-15,-25,-15,-15,-1,0,164,-1,-1,0
1985,A,A,Rock'n'Roll-Main Class Contact Style,First round,2,179,1,-10,-10,-10,-15,-10,-1,0,164,-1,-1,0
1985,A,A,Rock'n'Roll-Main Class Contact Style,First round,3,430,1,-15,-10,-15,-10,-10,-1,0,164,-1,-1,0
1985,A,A,Rock'n'Roll-Main Class Contact Style,First round,3,36,1,-15,-15,-10,-25,-25,-1,0,164,-1,-1,0
1985,A,A,Rock'n'Roll-Main Class Contact Style,First round,4,495,1,-15,-10,-25,-35,-15,-1,0,164,-1,-1,0
1985,A,A,Rock'n'Roll-Main Class Contact Style,First round,4,28,1,-10,-15,-15,-15,-15,-1,0,164,-1,-1,0
1985,D,A,Rock'n'Roll-Main Class Contact Style,First round,1,494,4,-75,-10,-15,-10,-15,-1,0,164,-1,-1,0
1985,D,A,Rock'n'Roll-Main Class Contact Style,First round,1,283,4,-25,-25,-10,-10,-25,-1,0,164,-1,-1,0
1985,D,A,Rock'n'Roll-Main Class Contact Style,First round,2,179,4,-10,-25,-10,-15,-10,-1,0,164,-1,-1,0
1985,D,A,Rock'n'Roll-Main Class Contact Style,First round,2,160,4,-35,-10,-15,-25,-15,-1,0,164,-1,-1,0
1985,D,A,Rock'n'Roll-Main Class Contact Style,First round,3,36,4,-35,-15,-10,-25,-25,-1,0,164,-1,-1,0
1985,D,A,Rock'n'Roll-Main Class Contact Style,First round,3,430,4,-10,-5,-15,-10,-15,-1,0,164,-1,-1,0
1985,D,A,Rock'n'Roll-Main Class Contact Style,First round,4,28,4,-10,-15,-35,-25,-15,-1,0,164,-1,-1,0
1985,D,A,Rock'n'Roll-Main Class Contact Style,First round,4,495,4,-10,-15,-15,-25,-25,-1,0,164,-1,-1,0
1985,F,A,Rock'n'Roll-Main Class Contact Style,First round,1,283,6,-10,-15,-15,-15,-15,-1,0,164,-1,-1,0
1985,F,A,Rock'n'Roll-Main Class Contact Style,First round,1,494,6,-100,-10,-15,0,-15,-1,0,164,-1,-1,0
1985,F,A,Rock'n'Roll-Main Class Contact Style,First round,2,160,6,-15,-10,-10,-15,-15,-1,0,164,-1,-1,0
1985,F,A,Rock'n'Roll-Main Class Contact Style,First round,2,179,6,-10,-5,-10,-10,-5,-1,0,164,-1,-1,0
1985,F,A,Rock'n'Roll-Main Class Contact Style,First round,3,430,6,-5,-10,-5,-5,-5,-1,0,164,-1,-1,0
1985,F,A,Rock'n'Roll-Main Class Contact Style,First round,3,36,6,-15,-5,-5,-5,-25,-1,0,164,-1,-1,0
1985,F,A,Rock'n'Roll-Main Class Contact Style,First round,4,495,6,-10,-10,-15,-15,-15,-1,0,164,-1,-1,0
1985,F,A,Rock'n'Roll-Main Class Contact Style,First round,4,28,6,-5,-10,-10,-10,-15,-1,0,164,-1,-1,0
